Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-02-15 15:30:00,9863.78,9896,9772.66,9851.73,209.07,2057974.5,9843.25
2018-02-15 16:00:00,9834.89,9896,9781.23,9860.91,332.79,3266929.59,9816.8
2018-02-15 16:30:00,9857.7,9919.31,9806.46,9919.31,326.43,3218394,9859.25
2018-02-15 17:00:00,9919.44,10077.39,9851.04,10075.84,1047.91,10447208.65,9969.54
2018-02-15 17:30:00,10068.8,10095.82,9974.37,10086,646.37,6490379.41,10041.32
2018-02-15 18:00:00,10086.57,10234,10074.54,10179.65,919.94,9334082.34,10146.38
2018-02-15 18:30:00,10179.65,10220,9952.36,10071.02,794.37,8004231.13,10076.2
2018-02-15 19:00:00,10087,10158.45,10052.35,10149.65,330.97,3344070.94,10103.98
2018-02-15 19:30:00,10149.7,10194,10105.03,10119.44,314.41,3192248.74,10153.28
2018-02-15 20:00:00,10119.34,10158.4,10023.28,10081.66,339.85,3435171.64,10107.92
2018-02-15 20:30:00,10085,10123.19,9952.36,10100.01,378.48,3802903.07,10047.77
2018-02-15 21:00:00,10100.01,10100.01,9994.46,10018,280.67,2818807.07,10043.09
2018-02-15 21:30:00,10018,10020.51,9852.28,9895.79,524.6,5210928.79,9933.06
2018-02-15 22:00:00,9895.79,9997.55,9882.97,9963.62,194.34,1933954.21,9951.17
2018-02-15 22:30:00,9963.62,10123.46,9941.69,10106.87,765.07,7684467.88,10044.12
2018-02-15 23:00:00,10100,10150,10028.62,10099.13,330.99,3347732.04,10114.23
2018-02-15 23:30:00,10091.1,10150,10000,10018,312.91,3165941.05,10117.67
2018-02-16 00:00:00,10011.3,10136.85,10005.75,10135.25,284.28,2862804.68,10070.51
2018-02-16 00:30:00,10136.6,10255.01,10088.96,10253.41,382.69,3898936.47,10188.26
2018-02-16 01:00:00,10253.41,10274.72,10156.2,10196.99,405.68,4145935.04,10219.69
2018-02-16 01:30:00,10208.4,10298,10187.64,10298,278.92,2856966.36,10243.02
2018-02-16 02:00:00,10297.99,10300,10190,10227.61,310.46,3180561.25,10244.6
2018-02-16 02:30:00,10227.56,10257.71,10164.75,10212.07,184.77,1887264.56,10214.13
2018-02-16 03:00:00,10201.99,10232.97,10156.08,10202.03,174.85,1782749.64,10195.77
2018-02-16 03:30:00,10201.58,10213.87,10056.06,10108.56,279.02,2822040.93,10114.07
2018-02-16 04:00:00,10131.72,10131.72,10005,10064.98,458.77,4621367.91,10073.49
2018-02-16 04:30:00,10054.1,10070.38,9960,10006.35,574.22,5745899.63,10006.52
2018-02-16 05:00:00,10025.82,10147.86,10000,10101.01,272.54,2747982.62,10083.01
2018-02-16 05:30:00,10119.98,10162.97,10100,10114.99,73.06,740156.49,10131.18
2018-02-16 06:00:00,10114.76,10150.01,10063.48,10091.36,138.28,1397930.19,10109.09
2018-02-16 06:30:00,10079.73,10084.04,9867.31,9867.31,549.63,5463359.54,9940.11
2018-02-16 07:00:00,9870,9929.19,9828.88,9914.51,386.61,3819814.42,9880.25
2018-02-16 07:30:00,9914.51,9929.19,9756.56,9756.56,500.6,4922395.78,9832.94
2018-02-16 08:00:00,9756.45,9915.25,9751,9884.61,242.15,2378695.8,9823.05
2018-02-16 08:30:00,9879,9988.8,9860.19,9946.46,351.5,3497477.74,9950.18
2018-02-16 09:00:00,9939.07,9989.08,9889.85,9989.08,254.42,2524449.34,9922.24
2018-02-16 09:30:00,9989.08,9999.13,9883.69,9891.01,191.92,1908487.41,9944.42
2018-02-16 10:00:00,9909.65,9916.46,9829.88,9893.38,184.35,1819025.94,9867.15
2018-02-16 10:30:00,9880.01,9894.84,9787.44,9800,194.81,1915134.38,9830.53
2018-02-16 11:00:00,9800,9823.14,9707.51,9736.14,396.96,3875054.44,9761.75
2018-02-16 11:30:00,9736.14,9853.7,9711.03,9828.22,159.65,1563852.65,9795.57
2018-02-16 12:00:00,9839.01,9875,9801.65,9846.98,131.66,1295830.38,9842.02
2018-02-16 12:30:00,9839.29,9889.45,9787.48,9879.81,204.42,2011371.55,9839.4
2018-02-16 13:00:00,9870.33,9977.14,9868.86,9946.45,293.2,2915332.36,9943.17
2018-02-16 13:30:00,9945.73,9954.62,9843.81,9868.77,111.76,1104775.84,9885.65
2018-02-16 14:00:00,9845.13,10000,9845.13,9984.98,177.92,1770455.69,9951.1
2018-02-16 14:30:00,9984.29,10100,9956,10037.95,291.1,2923600.68,10043.12
2018-02-16 15:00:00,10037.27,10114.37,10034.46,10114.37,181.29,1827079.4,10077.94
2018-02-16 15:30:00,10110.01,10134.05,10010.66,10033.95,252.47,2547597,10090.52
2018-02-16 16:00:00,10049.23,10153.15,10019.96,10153.15,226.61,2289679.04,10104.1
2018-02-16 16:30:00,10153.15,10170.73,10076.6,10077,204.11,2066641.89,10125.37
2018-02-16 17:00:00,10084.2,10113.2,10043.34,10069.05,150.21,1514318.79,10081.02
2018-02-16 17:30:00,10069.05,10109.88,10049.93,10062.92,84.46,850556.08,10070.83
2018-02-16 18:00:00,10060.15,10068.77,9910.01,9921.57,338.18,3366358.97,9954.43
2018-02-16 18:30:00,9921.57,9984.22,9902.78,9959,177.11,1760016.42,9937.21
2018-02-16 19:00:00,9960.8,9984.96,9920.63,9960.77,98.57,980827.91,9951.07
2018-02-16 19:30:00,9967.97,10066.56,9956.64,10049.03,134.36,1342721.57,9993.78
2018-02-16 20:00:00,10054.98,10058.65,9960,10031.79,92.06,921597.81,10010.45
2018-02-16 20:30:00,10030.32,10048.46,9980.76,10022.51,205.09,2052634.21,10008.3
2018-02-16 21:00:00,10022.26,10112.08,10020,10087.08,206.7,2083270.05,10078.92
2018-02-16 21:30:00,10087.08,10117.73,10054.03,10090.21,104.15,1050235.29,10083.4
